abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,is_dual_type,density,phys_ratio,offensive_score,defensive_score,survivability,stat_variance,speed_tier,catch_tier,gender_cat
"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45,3840,70,395,45.0,Butterfly Pokémon,50,1000000,1.1,60,Butterfreeバタフリー,Butterfree,50.0,12,90,80,70,bug,flying,32.0,1,0,1,26.45,0.333,68.3,63.3,62.1,304.2,Slow (50-70),Hard (31-75),Mixed
"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,3840,70,195,255.0,Hairy Pokémon,30,1000000,0.3,40,Beedleビードル,Weedle,50.0,13,20,20,50,bug,poison,3.2,1,0,1,35.56,0.636,35.0,30.0,28.8,137.5,Very Slow (<50),Easy (151-255),Mixed
['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,3840,70,205,120.0,Cocoon Pokémon,50,1000000,0.6,45,Cocoonコクーン,Kakuna,50.0,14,25,25,35,bug,poison,10.0,1,0,1,27.78,0.5,28.3,40.0,38.3,124.2,Very Slow (<50),Medium (76-150),Mixed
"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,3840,70,495,45.0,Poison Bee Pokémon,40,1000000,1.0,65,Spearスピアー,Beedrill,50.0,15,15,80,145,bug,poison,29.5,1,0,1,29.5,0.909,103.3,61.7,59.2,3027.5,Very Fast (110-150),Hard (31-75),Mixed
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,70,251,255.0,Tiny Bird Pokémon,40,1059860,0.3,40,Poppoポッポ,Pidgey,50.0,16,35,35,56,normal,flying,1.8,1,0,1,20.0,0.562,45.3,38.3,38.3,62.2,Slow (50-70),Easy (151-255),Mixed
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,349,120.0,Bird Pokémon,55,1059860,1.1,63,Pigeonピジョン,Pidgeotto,50.0,17,50,50,71,normal,flying,30.0,1,0,1,24.79,0.545,60.3,56.0,55.7,67.0,Medium (70-90),Medium (76-150),Mixed
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,3840,70,579,45.0,Bird Pokémon,80,1059860,1.5,83,Pigeotピジョット,Pidgeot,50.0,18,135,80,121,normal,flying,39.5,1,0,1,17.56,0.372,112.0,81.0,81.0,616.3,Very Fast (110-150),Hard (31-75),Mixed
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,3840,70,253,255.0,Mouse Pokémon,35,1000000,1.0,30,Korattaコラッタ,Rattata,50.0,19,25,35,72,normal,dark,27.3,1,0,1,27.3,0.691,51.0,33.3,33.2,325.4,Medium (70-90),Easy (151-255),Mixed
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,3840,70,413,127.0,Mouse Pokémon,70,1000000,1.0,75,Rattaラッタ,Raticate,50.0,20,40,80,77,normal,dark,27.3,1,0,1,27.3,0.64,62.7,75.0,74.9,213.4,Medium (70-90),Medium (76-150),Mixed
"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,262,255.0,Tiny Bird Pokémon,30,1000000,0.3,40,Onisuzumeオニスズメ,Spearow,50.0,21,31,31,70,normal,flying,2.0,1,0,1,22.22,0.659,53.7,33.7,33.4,296.3,Slow (50-70),Easy (151-255),Mixed
"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,3840,70,442,90.0,Beak Pokémon,65,1000000,1.2,65,Onidrillオニドリル,Fearow,50.0,22,61,61,100,normal,flying,38.0,1,0,1,26.39,0.596,83.7,63.7,63.6,286.3,Fast (90-110),Medium (76-150),Mixed
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,5120,70,288,255.0,Snake Pokémon,44,1000000,2.0,35,Arboアーボ,Ekans,50.0,23,40,54,55,poison,None,6.9,1,0,0,1.72,0.6,51.7,44.3,43.6,95.6,Slow (50-70),Easy (151-255),Mixed
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,5120,70,448,90.0,Cobra Pokémon,69,1000000,3.5,60,Arbokアーボック,Arbok,50.0,24,65,79,80,poison,None,65.0,1,0,0,5.31,0.594,80.0,69.3,68.9,160.3,Medium (70-90),Medium (76-150),Mixed
"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,2560,70,320,190.0,Mouse Pokémon,40,1000000,0.4,35,Pikachuピカチュウ,Pikachu,50.0,25,50,50,90,electric,None,6.0,1,0,0,37.5,0.524,65.0,41.7,41.2,376.7,Medium (70-90),Easy (151-255),Mixed
"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,2560,70,485,75.0,Mouse Pokémon,50,1000000,1.0,60,Raichuライチュウ,Raichu,50.0,26,95,85,110,electric,electric,27.3,1,0,1,27.3,0.472,96.7,65.0,63.4,494.2,Fast (90-110),Hard (31-75),Mixed
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,5120,70,300,255.0,Mouse Pokémon,90,1000000,1.0,50,Sandサンド,Sandshrew,50.0,27,10,35,40,ground,ice,27.3,1,0,1,27.3,0.882,41.7,58.3,54.0,830.0,Very Slow (<50),Easy (151-255),Mixed
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,450,90.0,Mouse Pokémon,120,1000000,1.0,75,Sandpanサンドパン,Sandslash,50.0,28,25,65,65,ground,ice,27.3,1,0,1,27.3,0.8,63.3,86.7,83.6,1070.0,Slow (50-70),Medium (76-150),Mixed
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,5120,70,275,235.0,Poison Pin Pokémon,52,1059860,0.4,55,Nidoran?ニドラン♀,Nidoran♀,0.0,29,40,40,41,poison,None,7.0,1,0,0,43.75,0.54,42.7,49.0,48.5,43.0,Very Slow (<50),Easy (151-255),Female-only
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,5120,70,365,120.0,Poison Pin Pokémon,67,1059860,0.8,70,Nidorinaニドリーナ,Nidorina,0.0,30,55,55,56,poison,None,20.0,1,0,0,31.25,0.53,57.7,64.0,63.7,43.0,Slow (50-70),Medium (76-150),Female-only
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,5120,70,505,45.0,Drill Pokémon,87,1059860,1.3,90,Nidoqueenニドクイン,Nidoqueen,0.0,31,75,85,76,poison,ground,60.0,1,0,1,35.5,0.551,81.0,87.3,87.3,51.0,Medium (70-90),Hard (31-75),Female-only
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,5120,70,273,235.0,Poison Pin Pokémon,40,1059860,0.5,46,Nidoran?ニドラン♂,Nidoran♂,100.0,32,40,40,50,poison,None,9.0,1,0,0,36.0,0.588,49.0,42.0,41.9,48.7,Very Slow (<50),Easy (151-255),Male-only
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,5120,70,365,120.0,Poison Pin Pokémon,57,1059860,0.9,61,Nidorinoニドリーノ,Nidorino,100.0,33,55,55,65,poison,None,19.5,1,0,0,24.07,0.567,64.0,57.7,57.6,45.0,Slow (50-70),Medium (76-150),Male-only
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,5120,70,505,45.0,Drill Pokémon,77,1059860,1.4,81,Nidokingニドキング,Nidoking,100.0,34,85,75,85,poison,ground,62.0,1,0,1,31.63,0.545,90.7,77.7,77.6,93.0,Medium (70-90),Hard (31-75),Male-only
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,140,323,150.0,Fairy Pokémon,48,800000,0.6,70,Pippiピッピ,Clefairy,24.6,35,60,65,35,fairy,None,7.5,1,0,0,20.83,0.429,46.7,61.0,60.2,178.2,Very Slow (<50),Medium (76-150),Mixed
"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,140,483,25.0,Fairy Pokémon,73,800000,1.3,95,Pixyピクシー,Clefable,24.6,36,95,90,60,fairy,None,40.0,1,0,0,23.67,0.424,75.0,86.0,85.5,219.5,Slow (50-70),Legendary-tier (0-30),Mixed
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,5120,70,299,190.0,Fox Pokémon,40,1000000,1.0,38,Rokonロコン,Vulpix,24.6,37,50,65,65,fire,ice,27.3,1,0,1,27.3,0.451,52.0,47.7,46.2,155.0,Slow (50-70),Easy (151-255),Mixed
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,5120,70,505,75.0,Fox Pokémon,75,1000000,1.0,73,Kyukonキュウコン,Ninetales,24.6,38,81,100,109,fire,ice,27.3,1,0,1,27.3,0.453,85.7,82.7,81.8,276.2,Fast (90-110),Hard (31-75),Mixed
"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,70,270,170.0,Balloon Pokémon,20,800000,0.5,115,Purinプリン,Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0,1,22.0,0.5,36.7,53.3,38.6,1310.0,Very Slow (<50),Easy (151-255),Mixed
"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,70,435,50.0,Balloon Pokémon,45,800000,1.0,140,Pukurinプクリン,Wigglytuff,24.6,40,85,50,45,normal,fairy,12.0,1,0,1,12.0,0.452,66.7,78.3,68.0,1347.5,Very Slow (<50),Hard (31-75),Mixed
"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,3840,70,245,255.0,Bat Pokémon,35,1000000,0.8,40,Zubatズバット,Zubat,50.0,41,30,40,55,poison,flying,7.5,1,0,1,11.72,0.6,43.3,38.3,38.3,74.2,Slow (50-70),Easy (151-255),Mixed
"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,3840,70,455,90.0,Bat Pokémon,70,1000000,1.6,75,Golbatゴルバット,Golbat,50.0,42,65,75,90,poison,flying,55.0,1,0,1,21.48,0.552,78.3,73.3,73.3,74.2,Medium (70-90),Medium (76-150),Mixed
"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,5120,70,320,255.0,Weed Pokémon,55,1059860,0.5,45,Nazonokusaナゾノクサ,Oddish,50.0,43,75,65,30,grass,poison,5.4,1,0,1,21.6,0.4,51.7,55.0,54.4,246.7,Very Slow (<50),Easy (151-255),Mixed
"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,5120,70,395,120.0,Weed Pokémon,70,1059860,0.8,60,Kusaihanaクサイハナ,Gloom,50.0,44,85,75,40,grass,poison,8.6,1,0,1,13.44,0.433,63.3,68.3,68.0,234.2,Very Slow (<50),Medium (76-150),Mixed
"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,5120,70,490,45.0,Flower Pokémon,85,1059860,1.2,75,Ruffresiaラフレシア,Vileplume,50.0,45,110,90,50,grass,poison,18.6,1,0,1,12.92,0.421,80.0,83.3,83.1,386.7,Very Slow (<50),Hard (31-75),Mixed
"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,5120,70,285,190.0,Mushroom Pokémon,55,1000000,0.3,35,Parasパラス,Paras,50.0,46,45,55,25,bug,grass,5.4,1,0,1,60.0,0.609,46.7,48.3,47.3,257.5,Very Slow (<50),Easy (151-255),Mixed
"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,5120,70,405,75.0,Mushroom Pokémon,80,1000000,1.0,60,Parasectパラセクト,Parasect,50.0,47,60,80,30,bug,grass,29.5,1,0,1,29.5,0.613,61.7,73.3,72.7,517.5,Very Slow (<50),Hard (31-75),Mixed
"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,5120,70,305,190.0,Insect Pokémon,50,1000000,1.0,60,Kongpangコンパン,Venonat,50.0,48,40,55,45,bug,poison,30.0,1,0,1,30.0,0.579,46.7,55.0,54.8,54.2,Very Slow (<50),Easy (151-255),Mixed
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,5120,70,450,75.0,Poison Moth Pokémon,60,1000000,1.5,70,Morphonモルフォン,Venomoth,50.0,49,90,75,90,bug,poison,12.5,1,0,1,5.56,0.419,81.7,68.3,68.0,160.0,Medium (70-90),Hard (31-75),Mixed
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,5120,70,265,255.0,Mole Pokémon,30,1000000,1.0,10,Digdaディグダ,Diglett,50.0,50,35,45,90,ground,ground,27.3,1,0,1,27.3,0.611,60.0,28.3,23.8,734.2,Medium (70-90),Easy (151-255),Mixed
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,425,50.0,Mole Pokémon,60,1000000,1.0,35,Dugtrioダグトリオ,Dugtrio,50.0,51,50,70,110,ground,ground,27.3,1,0,1,27.3,0.667,86.7,55.0,52.8,844.2,Fast (90-110),Hard (31-75),Mixed
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,5120,70,290,255.0,Scratch Cat Pokémon,35,1000000,1.0,40,Nyarthニャース,Meowth,50.0,52,50,40,90,normal,dark,27.3,1,0,1,27.3,0.412,58.3,38.3,38.3,446.7,Medium (70-90),Easy (151-255),Mixed
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,70,440,90.0,Classy Cat Pokémon,60,1000000,1.0,65,Persianペルシアン,Persian,50.0,53,75,65,115,normal,dark,27.3,1,0,1,27.3,0.444,83.3,63.3,63.3,446.7,Very Fast (110-150),Medium (76-150),Mixed
"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,5120,70,320,190.0,Duck Pokémon,48,1000000,0.8,50,Koduckコダック,Psyduck,50.0,54,65,50,55,water,None,19.6,1,0,0,30.62,0.444,57.3,49.3,49.3,38.3,Slow (50-70),Easy (151-255),Mixed
"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,5120,70,500,75.0,Duck Pokémon,78,1000000,1.7,80,Golduckゴルダック,Golduck,50.0,55,95,80,85,water,None,76.6,1,0,0,26.51,0.463,87.3,79.3,79.3,38.3,Medium (70-90),Hard (31-75),Mixed
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,190.0,Pig Monkey Pokémon,35,1000000,0.5,40,Mankeyマンキー,Mankey,50.0,56,35,45,70,fighting,None,28.0,1,0,0,112.0,0.696,61.7,40.0,39.8,374.2,Slow (50-70),Easy (151-255),Mixed
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,5120,70,455,75.0,Pig Monkey Pokémon,60,1000000,1.0,65,Okorizaruオコリザル,Primeape,50.0,57,60,70,95,fighting,None,32.0,1,0,0,32.0,0.636,86.7,65.0,64.9,374.2,Fast (90-110),Hard (31-75),Mixed
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,5120,70,350,190.0,Puppy Pokémon,45,1250000,0.7,55,Gardieガーディ,Growlithe,75.4,58,70,50,60,fire,None,19.0,1,0,0,38.78,0.5,66.7,50.0,49.8,106.7,Slow (50-70),Easy (151-255),Mixed
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,5120,70,555,75.0,Legendary Pokémon,80,1250000,1.9,90,Windieウインディ,Arcanine,75.4,59,100,80,95,fire,None,155.0,1,0,0,42.94,0.524,101.7,83.3,83.2,137.5,Fast (90-110),Hard (31-75),Mixed
"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,5120,70,300,255.0,Tadpole Pokémon,40,1059860,0.6,40,Nyoromoニョロモ,Poliwag,50.0,60,40,40,90,water,None,12.4,1,0,0,34.44,0.556,60.0,40.0,40.0,400.0,Medium (70-90),Easy (151-255),Mixed
